1.750000e-03	-8.575764e-02	-8.575764e-02	-8.575764e-02	-8.575764e-02	
1.800000e-03	-8.575967e-02	-8.575967e-02	-8.575967e-02	-8.575967e-02	
1.850000e-03	-8.576170e-02	-8.576170e-02	-8.576170e-02	-8.576170e-02	
1.900000e-03	-8.576375e-02	-8.576375e-02	-8.576375e-02	-8.576375e-02	
1.950000e-03	-8.576581e-02	-8.576581e-02	-8.576581e-02	-8.576581e-02	
2.000000e-03	-8.576787e-02	-8.576787e-02	-8.576787e-02	-8.576787e-02	
2.050000e-03	-8.576994e-02	-8.576994e-02	-8.576994e-02	-8.576994e-02	
2.100000e-03	-8.577202e-02	-8.577202e-02	-8.577202e-02	-8.577202e-02	
2.150000e-03	-8.577411e-02	-8.577411e-02	-8.577411e-02	-8.577411e-02	
2.200000e-03	-8.577620e-02	-8.577620e-02	-8.577620e-02	-8.577620e-02	
2.250000e-03	-8.577830e-02	-8.577830e-02	-8.577830e-02	-8.577830e-02	
2.300000e-03	-8.578041e-02	-8.578041e-02	-8.578041e-02	-8.578041e-02	
2.350000e-03	-8.578252e-02	-8.578252e-02	-8.578252e-02	-8.578252e-02	
2.400000e-03	-8.578464e-02	-8.578464e-02	-8.578464e-02	-8.578464e-02	
2.450000e-03	-8.578677e-02	-8.578677e-02	-8.578677e-02	-8.578677e-02	
2.500000e-03	-8.578890e-02	-8.578890e-02	-8.578890e-02	-8.578890e-02	
2.550000e-03	-8.579104e-02	-8.579104e-02	-8.579104e-02	-8.579104e-02	
2.600000e-03	-8.579318e-02	-8.579318e-02	-8.579318e-02	-8.579318e-02	
2.650000e-03	-8.579533e-02	-8.579533e-02	-8.579533e-02	-8.579533e-02	
2.700000e-03	-8.579748e-02	-8.579748e-02	-8.579748e-02	-8.579748e-02	
2.750000e-03	-8.579964e-02	-8.579964e-02	-8.579964e-02	-8.579964e-02	
2.800000e-03	-8.580180e-02	-8.580180e-02	-8.580180e-02	-8.580180e-02	
2.850000e-03	-8.580397e-02	-8.580397e-02	-8.580397e-02	-8.580397e-02	
2.900000e-03	-8.580614e-02	-8.580614e-02	-8.580614e-02	-8.580614e-02	
2.950000e-03	-8.580831e-02	-8.580831e-02	-8.580831e-02	-8.580831e-02	
3.000000e-03	-8.581049e-02	-8.581049e-02	-8.581049e-02	-8.581049e-02	
3.050000e-03	-8.581267e-02	-8.581267e-02	-8.581267e-02	-8.581267e-02	
3.100000e-03	-8.581485e-02	-8.581485e-02	-8.581485e-02	-8.581485e-02	
